VICTIM AGE,EDUCATION LEVEL,SOCIAL MEDIA PLATFORM,LOCATION (STATE),INCIDENT YEAR,TYPE OF HARASSMENT,DURATION (MONTHS),ACTION TAKEN,OUTCOME/RESULTS
37,Bachelor's Degree,TikTok,Kedah,2019,Requests for sex,3,Ignored,No action
41,Bachelor's Degree,WhatsApp,Penang,2022,Spreading sexual rumours,4,Ignored,User banned
31,No Formal Education,Tinder,Kedah,2019,Comments about physical appearance,7,Ignored,No action
27,Bachelor's Degree,Bumble,Pahang,2022,Offensive name-calling,6,Blocked user,still continues
23,Bachelor's Degree,Bumble,Kedah,2020,Indecent exposure,12,Reported to platform,Warning issued
33,No Formal Education,Other,Kuala Lumpur,2021,Threat,3,Blocked user,Warning issued
22,High School,Twitter,Terengganu,2022,Unwanted flirting,2,Ignored,User banned
23,Diploma,Facebook,Kedah,2018,Stalking,4,Reported to platform,No action
44,Bachelor's Degree,Other,Kelantan,2019,Threat,6,Ignored,No action
45,Bachelor's Degree,Facebook,Melaka,2018,Requests for sex,10,Reported to authorities,Warning issued
26,Secondary School,Facebook,Pahang,2022,Making sexual jokes,6,Blocked user,No action
28,High School,Instagram,Perak,2022,Comments about physical appearance,7,Ignored,No action
42,Certification course,TikTok,Negeri Sembilan,2021,Sharing explicit images without consent,2,Ignored,still continues
19,High School,Twitter,Melaka,2018,Spreading sexual rumours,4,Reported to authorities,still continues
45,Certification course,Instagram,Sarawak,2018,Unwanted flirting,8,Ignored,Warning issued
28,High School,Bumble,Penang,2022,Unwanted flirting,7,Reported to platform,User banned
42,Certification course,Bumble,Penang,2018,Be mindful of sharing personal information,6,Reported to platform,still continues
39,Secondary School,Instagram,Kedah,2020,Unwanted flirting,11,Reported to authorities,User banned
23,Secondary School,Other,Perlis,2018,Unwanted flirting,8,Reported to platform,No action
24,Secondary School,Twitter,Melaka,2018,Requests for sex,4,Ignored,Warning issued
19,Bachelor's Degree,Tinder,Kuala Lumpur,2021,Spreading sexual rumours,11,Ignored,User banned
19,Certification course,Instagram,Penang,2022,Sharing explicit images without consent,8,Reported to platform,User banned
40,High School,WhatsApp,Negeri Sembilan,2018,Sharing explicit images without consent,10,Blocked user,Warning issued
43,Secondary School,Tinder,Perak,2022,Be mindful of sharing personal information,4,Ignored,still continues
20,Diploma,Instagram,Sabah,2022,Sexual photos,6,Reported to platform,No action
23,Diploma,Bumble,Kuala Lumpur,2022,Sharing explicit images without consent,12,Blocked user,still continues
28,No Formal Education,Facebook,Perak,2020,Offensive name-calling,3,Reported to platform,User banned
45,High School,WhatsApp,Melaka,2020,Sexting,9,Reported to platform,Warning issued
38,No Formal Education,WhatsApp,Pahang,2022,Spreading sexual rumours,10,Blocked user,still continues
33,Certification course,TikTok,Negeri Sembilan,2022,Sharing explicit images without consent,11,Reported to authorities,User banned
35,Secondary School,WhatsApp,Selangor,2022,Spreading sexual rumours,2,Reported to authorities,User banned
36,Bachelor's Degree,Instagram,Melaka,2020,Sexting,9,Ignored,User banned
35,Diploma,Twitter,Kelantan,2019,Comments about physical appearance,11,Blocked user,User banned
23,No Formal Education,WhatsApp,Kedah,2018,Unwanted flirting,6,Reported to authorities,No action
38,Diploma,Bumble,Selangor,2021,Sexual photos,6,Ignored,User banned
24,No Formal Education,TikTok,Perak,2018,Stalking,11,Ignored,Warning issued
20,Secondary School,Other,Terengganu,2019,Sharing explicit images without consent,8,Reported to authorities,still continues
29,Certification course,TikTok,Kuala Lumpur,2021,Threat,11,Blocked user,Warning issued
41,Secondary School,WhatsApp,Perak,2022,Sharing explicit images without consent,3,Ignored,Warning issued
36,No Formal Education,Bumble,Selangor,2022,Unwanted flirting,3,Blocked user,No action
35,Certification course,Bumble,Terengganu,2018,Stalking,1,Ignored,still continues
26,No Formal Education,Bumble,Selangor,2018,Sharing explicit images without consent,9,Reported to platform,Warning issued
21,High School,Instagram,Kuala Lumpur,2018,Spreading sexual rumours,9,Reported to authorities,No action
22,Certification course,WhatsApp,Sarawak,2018,Stalking,11,Reported to platform,still continues
42,Diploma,Facebook,Terengganu,2018,Stalking,3,Ignored,User banned
20,Bachelor's Degree,WhatsApp,Sarawak,2020,Making sexual jokes,7,Blocked user,User banned
21,No Formal Education,Facebook,Terengganu,2018,Stalking,9,Reported to authorities,still continues
18,Bachelor's Degree,Bumble,Negeri Sembilan,2019,Sharing explicit images without consent,3,Blocked user,Warning issued
42,No Formal Education,Bumble,Perlis,2018,Making sexual jokes,11,Ignored,User banned
36,High School,Facebook,Kelantan,2020,Sexual photos,6,Ignored,still continues
33,High School,Twitter,Johor,2019,Comments about physical appearance,1,Blocked user,Warning issued
36,Secondary School,Other,Penang,2022,Sexting,2,Ignored,No action
40,High School,WhatsApp,Negeri Sembilan,2018,Be mindful of sharing personal information,8,Ignored,still continues
22,Bachelor's Degree,Instagram,Selangor,2019,Sharing explicit images without consent,1,Blocked user,Warning issued
24,Certification course,Tinder,Melaka,2020,discussing their own sex life,7,Reported to authorities,still continues
39,High School,TikTok,Kelantan,2021,Indecent exposure,7,Reported to platform,No action
31,Bachelor's Degree,Other,Melaka,2022,Making sexual jokes,6,Blocked user,No action
45,Diploma,Facebook,Pahang,2020,Offensive name-calling,5,Ignored,No action
19,Secondary School,Tinder,Sarawak,2020,Unwanted flirting,10,Reported to authorities,No action
22,No Formal Education,WhatsApp,Kuala Lumpur,2018,Requests for sex,11,Reported to authorities,User banned
43,Diploma,Facebook,Kelantan,2022,Unwanted flirting,2,Blocked user,No action
29,Bachelor's Degree,Other,Pahang,2020,Sharing explicit images without consent,4,Blocked user,Warning issued
45,Certification course,TikTok,Melaka,2022,Sexting,1,Reported to platform,still continues
18,Secondary School,Twitter,Kuala Lumpur,2018,Spreading sexual rumours,7,Reported to platform,Warning issued
33,No Formal Education,WhatsApp,Sabah,2019,Threat,6,Reported to authorities,Warning issued
33,No Formal Education,Tinder,Terengganu,2019,Sharing explicit images without consent,6,Reported to authorities,Warning issued
41,Secondary School,Facebook,Sabah,2021,Requests for sex,3,Blocked user,still continues
33,High School,Instagram,Kedah,2018,discussing their own sex life,9,Reported to authorities,Warning issued
28,Bachelor's Degree,TikTok,Melaka,2020,Spreading sexual rumours,9,Ignored,Warning issued
25,No Formal Education,WhatsApp,Kuala Lumpur,2019,discussing their own sex life,2,Reported to authorities,still continues
22,Diploma,Facebook,Sabah,2020,Requests for sex,6,Reported to authorities,Warning issued
38,Certification course,Other,Terengganu,2020,Offensive name-calling,8,Reported to platform,No action
24,No Formal Education,Twitter,Kuala Lumpur,2021,Be mindful of sharing personal information,12,Blocked user,No action
43,Bachelor's Degree,Instagram,Kuala Lumpur,2020,Be mindful of sharing personal information,11,Blocked user,Warning issued
27,Bachelor's Degree,Facebook,Pahang,2020,Threat,2,Ignored,Warning issued
33,High School,Facebook,Perak,2019,Indecent exposure,7,Blocked user,Warning issued
40,Secondary School,Facebook,Melaka,2022,Comments about physical appearance,7,Reported to platform,Warning issued
36,No Formal Education,TikTok,Perak,2022,Stalking,9,Reported to platform,User banned
26,Secondary School,Other,Penang,2018,Sexting,5,Reported to platform,User banned
45,Diploma,Facebook,Kelantan,2022,Indecent exposure,2,Reported to platform,No action
27,Bachelor's Degree,Bumble,Penang,2021,Sharing explicit images without consent,10,Reported to authorities,No action
18,Bachelor's Degree,Facebook,Sabah,2019,Sexting,1,Reported to platform,still continues
39,Certification course,Tinder,Perlis,2021,Be mindful of sharing personal information,1,Blocked user,still continues
26,Certification course,TikTok,Kedah,2020,Threat,4,Blocked user,Warning issued
22,Bachelor's Degree,Facebook,Johor,2019,Requests for sex,10,Reported to authorities,Warning issued
38,Certification course,Twitter,Perlis,2021,Offensive name-calling,7,Blocked user,Warning issued
29,Certification course,Tinder,Perlis,2019,discussing their own sex life,1,Reported to authorities,Warning issued
43,Secondary School,Twitter,Sarawak,2022,Making sexual jokes,10,Reported to authorities,Warning issued
25,Secondary School,Facebook,Perlis,2021,Sharing explicit images without consent,3,Reported to platform,still continues
22,Diploma,Bumble,Kuala Lumpur,2022,Sexual photos,12,Reported to authorities,No action
43,No Formal Education,Instagram,Selangor,2022,Stalking,7,Blocked user,User banned
36,Secondary School,Tinder,Selangor,2018,Sexting,1,Ignored,User banned
35,Certification course,Other,Melaka,2020,Comments about physical appearance,1,Reported to authorities,No action
26,High School,Bumble,Sarawak,2019,Requests for sex,10,Blocked user,No action
25,No Formal Education,WhatsApp,Sabah,2018,Threat,5,Reported to authorities,still continues
28,No Formal Education,TikTok,Perak,2022,Unwanted flirting,8,Ignored,Warning issued
44,Diploma,Bumble,Perak,2018,Threat,5,Blocked user,User banned
34,Certification course,Instagram,Selangor,2021,Sharing explicit images without consent,4,Ignored,No action
32,Diploma,WhatsApp,Perak,2021,discussing their own sex life,6,Reported to platform,No action
21,High School,Instagram,Melaka,2019,Threat,12,Reported to platform,still continues
31,High School,Instagram,Johor,2022,Unwanted flirting,11,Blocked user,User banned
43,Bachelor's Degree,Instagram,Pahang,2022,Sharing explicit images without consent,7,Reported to platform,Warning issued
43,No Formal Education,Facebook,Negeri Sembilan,2020,discussing their own sex life,2,Ignored,User banned
19,Bachelor's Degree,Twitter,Kuala Lumpur,2020,Sharing explicit images without consent,10,Blocked user,Warning issued
28,Bachelor's Degree,WhatsApp,Selangor,2020,Unwanted flirting,8,Blocked user,still continues
18,Bachelor's Degree,WhatsApp,Perlis,2020,Sexting,6,Ignored,Warning issued
30,Secondary School,TikTok,Melaka,2018,Threat,9,Blocked user,User banned
39,No Formal Education,Facebook,Negeri Sembilan,2019,Threat,6,Ignored,No action
21,No Formal Education,Tinder,Perak,2018,Sexting,9,Reported to authorities,No action
20,Certification course,Twitter,Kelantan,2019,Offensive name-calling,6,Reported to platform,still continues
40,Secondary School,TikTok,Penang,2019,Be mindful of sharing personal information,7,Reported to authorities,User banned
39,High School,TikTok,Terengganu,2020,Be mindful of sharing personal information,12,Blocked user,Warning issued
28,No Formal Education,Other,Melaka,2019,Stalking,5,Ignored,No action
33,High School,Other,Penang,2020,Sharing explicit images without consent,4,Ignored,No action
28,Bachelor's Degree,Tinder,Kedah,2022,Making sexual jokes,5,Reported to authorities,still continues
36,No Formal Education,Tinder,Sabah,2019,Spreading sexual rumours,3,Reported to platform,No action
